abide,VBZ,abode
archipelago,NNS,archipelagoes
awake,VBN,awaked
axis,NNS,axes
barren,NNS,barren
bear,VBN,born
befit,VBD,befitting
beget,VBD,begat
behold,VBN,behold
belfry,NNS,belfry
beseech,VBD,beseech
bespeak,VBN,bespoke
bet,VBD,betted
bid,VBN,bid
blab,NNS,blab
brickkiln,NNS,brickkiln
brother,NNS,brethren
buoy,NNS,buoy
burn,VBN,burnt
bustle,NNS,bustle
car,JJS,carest
cattle,NNS,cattle
charm,VBD,charm
cleave,VBN,cloven
clergy,NNS,clergy
corps,NNS,corpses
counsel,VBD,counselled
counsel,VBN,counselled
demesne,NNS,demesne
demur,NNS,demur
dim,VBZ,dim
dot,VBD,doted
dot,VBZ,dotes
dumpling,NNS,dumplings
dwell,VBD,dwell
eightpence,NNS,eightpence
envelop,VBZ,envelopes
equal,VBD,equalled
equal,VBN,equalled
fatling,NNS,fatlings
fear,VBZ,feares
feeling,NNS,feelings
firstling,NNS,firstlings
fish,NNS,fishes
flamingo,NNS,flamingoes
flounder,NNS,flounders
fly,JJS,flyest
forsake,VBD,forsaken
fowl,NNS,fowls
gambol,VBN,gambolled
gap,VBD,gaped
gap,VBG,gaping
gap,VBN,gaped
go,JJ,goin'
gown,VBN,gown
gruel,NNS,gruel
halo,NNS,halo
hang,VBN,hanged
harden,VBZ,harden
hearken,VBN,hearken
hew,VBN,hewn
hide,VBN,hid
howling,NNS,howlings
hundredth,NNS,hundredth
hyssop,NNS,hyssop
jewel,VBN,jewelled
kneel,VBD,kneeled
knit,VBN,knit
knock,VBZ,knockes
label,VBN,labelled
landau,NNS,landau
leaden,VBN,leaden
less,JJR,less
less,RBR,less
level,VBD,levelled
level,VBN,levelled
lie,VBD,lay
light,VBN,lit
lobster,NNS,lobsters
mad,JJS,madest
madam,NN,ma'am
marshal,VBN,marshalled
marvel,VBD,marvelled
marvel,VBN,marvelled
meagre,NNS,meagre
medium,NNS,mediums
mine,VBZ,mine
motif,NNS,motives
mow,VBN,mown
murmur,NNS,murmur
murmur,VBZ,murmur
octa,NNS,octa
ogre,NNS,ogre
pale,VBN,pale
pat,VBN,pated
pen,VBN,pent
pencil,VBN,pencilled
penny,NNS,pence
people,NNS,people
perch,NNS,perches
person,NNS,persons
phenomenon,NNS,phenomena
pianoforte,NNS,pianoforte
pip,VBD,piped
pip,VBG,piping
pip,VBN,piped
pluck,VBZ,pluckes
porpoise,NNS,porpoises
profane,VBZ,profane
prophesy,VBD,prophesy
prythee,NNS,prythee
quail,NNS,quails
quarrel,VBD,quarrelled
quarrel,VBG,quarrelling
quarrel,VBN,quarrelled
quicken,VBD,quicken
quit,VBD,quitted
quit,VBN,quitted
rag,VBD,raged
rag,VBG,raging
rag,VBZ,rages
railing,NNS,railings
rat,VBD,rated
rat,VBN,rated
razor,VBN,razor
re,NNS,re
revel,VBD,revelled
revelling,NNS,revellings
rid,VBG,riding
rid,VBZ,rides
ring,VBD,rang
ring,VBN,ringed
roar,VBZ,roares
roe,NNS,roes
round,VBD,round
round,VBZ,round
say,NNS,saies
scrap,VBD,scraped
scrap,VBG,scraping
scrap,VBN,scraped
scud,NNS,scud
seedling,NNS,seedlings
seethe,VBD,seethe
seraphim,NNS,seraphims
sew,VBN,sewed
shew,VBN,shewed
shine,VBN,shined
shirr,NNS,shirr
shoe,VBZ,shod
signal,VBD,signalled
singe,VBG,singing
sixpence,NNS,sixpences
slat,VBN,slated
slop,VBD,sloped
slop,VBG,sloping
smell,VBN,smelt
sod,VBD,sod
sodden,VBN,sodden
sol,NNS,soles
spiral,VBG,spiralling
spit,VBD,spat
star,VBD,stared
star,VBG,staring
star,VBN,stared
star,VBZ,stares
stick,VBZ,stickes
strew,VBN,strewn
suckling,NNS,sucklings
suet,NNS,suet
sulky,NNS,sulky
sulphur,NNS,sulphur
swell,VBN,swelled
tear,VBD,tore
thee,NNS,thee
thee,VBZ,thee
thou,VBZ,thou
topmost,JJS,topmost
tramp,VBZ,tramp
travel,VBD,travelled
travel,VBG,travelling
travel,VBN,travelled
tread,VBD,trodden
twin,VBN,twined
unscrew,VBD,unscrew
wade,VBD,wade
warp,NNS,warp
warp,VBD,warp
weep,VBZ,weepes
whale,VBD,whale
wherefore,NNS,wherefore
wherein,JJS,wherein
whirr,NNS,whirr
whit,VBD,whit
wilt,VBD,wilt
wilt,VBN,wilt
wind,VBD,wound
work,VBD,wrought
work,VBN,wrought
worship,VBD,worshipped
worship,VBG,worshipping
worship,VBN,worshipped
wot,VBD,wot
wrestling,NNS,wrestlings
ye,NNS,ye
yonder,RBR,yonder
